time;id;creation;conclusion;client_color;server_color
8.5;9;0;8.5;blue;blue
21.3;5;0;21.3;blue;red
153.4;3;0;153.4;blue;blue
195.2;3;183.4;195.2;blue;blue
722.8;3;225.2;722.8;blue;blue
798.4;3;752.8;798.4;blue;blue
893.6;3;828.4;893.6;blue;blue
1074.2;3;923.6;1074.2;blue;blue
1105.8;3;1104.2;1105.8;blue;blue
1135.9;3;1135.8;1135.9;blue;blue
1410.6;9;38.5;1410.6;blue;blue
1425.5;3;1165.9;1425.5;blue;blue
1494.6;9;1440.6;1494.6;blue;blue
1622.9;9;1524.6;1622.9;blue;blue
1913.3;3;1455.5;1913.3;blue;blue
1975.1;3;1943.3;1975.1;blue;blue
2378.6;3;2005.1;2378.6;blue;blue
2596;3;2408.6;2596;blue;blue
2642.7;3;2626;2642.7;blue;blue
3052.8;9;1652.9;3052.8;blue;blue
3305.6;3;2672.7;3305.6;blue;blue
3335.6;3;3335.6;3335.6;blue;blue
