time;id;creation;conclusion;client_color;server_color
1.8;9;0;1.8;blue;blue
5.1;10;0;5.1;blue;blue
85.9;1;0;85.9;blue;blue
116.9;1;115.9;116.9;blue;blue
155.9;2;0;155.9;blue;blue
186;2;185.9;186;blue;blue
347.3;14;0;347.3;blue;blue
379.4;14;377.3;379.4;blue;blue
756.3;2;216;756.3;blue;blue
824.9;2;786.3;824.9;blue;blue
1281.3;8;0;1281.3;blue;blue
1545;8;1311.3;1545;blue;blue
1694.4;2;854.9;1694.4;blue;blue
1801.3;8;1575;1801.3;blue;blue
1835.4;8;1831.3;1835.4;blue;blue
2001.6;8;1865.4;2001.6;blue;blue
2015.2;11;0;2015.2;blue;blue
2034.2;8;2031.6;2034.2;blue;blue
2330.6;11;2045.2;2330.6;blue;blue
2537.3;2;1724.4;2537.3;blue;blue
2555.7;9;31.8;2555.7;blue;blue
2770.5;8;2064.3;2770.5;blue;blue
2857.1;8;2800.5;2857.1;blue;blue
2899.6;8;2887.1;2899.6;blue;blue
3170.3;1;146.9;3170.3;blue;blue
3233.2;11;2360.6;3233.2;blue;blue
3538;8;2929.6;3538;blue;blue
